id,name,type,url
footballist,풋볼리스트,인터넷신문,https://www.footballist.co.kr
pressian,프레시안,인터넷신문,https://www.pressian.com
memorialnews,하늘문화신문,인터넷신문,https://www.memorialnews.net
housingherald,하우징헤럴드,인터넷신문,https://www.housingherald.co.kr
hidoc,하이닥,인터넷신문,https://www.hidoc.co.kr
hgtimes,한강타임즈,인터넷신문,https://www.hg-times.com
h21,한겨레21,시사주간지,https://h21.hani.co.kr
hani,한겨레신문,종합일간지,https://www.hani.co.kr
gasnews,한국가스신문,인터넷신문,https://www.gasnews.com
csojournalist,한국기자연대,인터넷신문,https://www.csojournalist.com
agrinet,한국농어민신문,인터넷신문,https://www.agrinet.co.kr
newsx,한국대학신문,인터넷신문,https://news.unn.net
hankooki,한국미디어네트워크,인터넷신문,https://www.hankooki.com
toptvkorea,한국방송 칭찬합시다뉴스,인터넷신문,https://www.toptvkorea.com
insnews,한국보험신문,인터넷신문,https://www.insnews.co.kr
koreaarttv,한국사진방송,인터넷신문,https://koreaarttv.com
ktnews,한국섬유신문,인터넷신문,https://www.ktnews.com
taxtimes,한국세정신문,인터넷신문,https://www.taxtimes.co.kr
hapt,한국아파트신문,인터넷신문,https://www.hapt.co.kr
koenergy,한국에너지신문,인터넷신문,http://www.koenergy.co.kr
pignpork,한돈뉴스,인터넷신문,https://www.pignpork.com
hanbatilbo,한밭일보,인터넷신문,http://www.hanbatilbo.com
hansbiz,한스경제,인터넷신문,https://www.hansbiz.co.kr
ihaesa,해사경제신문,인터넷신문,https://ihaesa.com
houseplus64103,행복이 가득한 집,인터넷신문,https://houseplus64103.imweb.me
iheadlinenews,헤드라인뉴스,인터넷신문,https://www.iheadlinenews.co.kr
headlinejeju,헤드라인제주,인터넷신문,https://www.headlinejeju.co.kr
hkbstv,헤드라인코리아저널/한국기독뉴스,인터넷신문,http://hkbstv.com
hin,헬스이슈앤뉴스,인터넷신문,https://www.hin.company
hyundaiilbo,현대일보,인터넷신문,http://www.hyundaiilbo.com
hdhy,현대해양,인터넷신문,https://www.hdhy.co.kr
ecomedia,환경미디어,인터넷신문,http://www.ecomedia.co.kr
ecobs,환경방송,인터넷신문,http://www.ecobs.co.kr
kfem,환경운동연합,인터넷신문,https://kfem.or.kr
hkbs,환경일보,인터넷신문,https://www.hkbs.co.kr
